
1s2.2s2.2p1(2.0P).10p1--3.0S[1.0], 1.0, 226052.788831 ritzRydberg

1s2.2s2.2p1(2.0P).9s1--1.0P[1.0], 1.0, 226072.545498 ritzRydberg

1s2.2s2.2p1(2.0P).9p1--1.0P[1.0], 1.0, 226072.545498 ritzRydberg

1s2.2s2.2p1(2.0P).9d1--1.0P[1.0], 1.0, 226072.545498 ritzRydberg

1s2.2s2.2p1(2.0P).9d1--3.0F[4.0, 3.0, 2.0], 4.0, 226202.505058 ritzRydberg
1s2.2s2.2p1(2.0P).9d1--3.0F[4.0, 3.0, 2.0], 3.0, 226202.505058 ritzRydberg
1s2.2s2.2p1(2.0P).9d1--3.0F[4.0, 3.0, 2.0], 2.0, 226202.505058 ritzRydberg

1s2.2s2.2p1(2.0P).9f1--3.0F[4.0, 3.0, 2.0], 4.0, 226202.505058 ritzRydberg
1s2.2s2.2p1(2.0P).9f1--3.0F[4.0, 3.0, 2.0], 3.0, 226202.505058 ritzRydberg
1s2.2s2.2p1(2.0P).9f1--3.0F[4.0, 3.0, 2.0], 2.0, 226202.505058 ritzRydberg

1s2.2s2.2p1(2.0P).9g1--3.0F[4.0, 3.0, 2.0], 4.0, 226202.505058 ritzRydberg
1s2.2s2.2p1(2.0P).9g1--3.0F[4.0, 3.0, 2.0], 3.0, 226202.505058 ritzRydberg
1s2.2s2.2p1(2.0P).9g1--3.0F[4.0, 3.0, 2.0], 2.0, 226202.505058 ritzRydberg

1s2.2s2.2p1(2.0P).8d1--1.0F[3.0], 3.0, 226417.872716 ritzRydberg

1s2.2s2.2p1(2.0P).8f1--1.0F[3.0], 3.0, 226417.872716 ritzRydberg

1s2.2s2.2p1(2.0P).8g1--1.0F[3.0], 3.0, 226417.872716 ritzRydberg

1s2.2s2.2p1(2.0P).9p1--3.0D[3.0, 2.0, 1.0], 3.0, 226458.067734 ritzRydberg
1s2.2s2.2p1(2.0P).9p1--3.0D[3.0, 2.0, 1.0], 2.0, 226458.067734 ritzRydberg
1s2.2s2.2p1(2.0P).9p1--3.0D[3.0, 2.0, 1.0], 1.0, 226458.067734 ritzRydberg

1s2.2s2.2p1(2.0P).9d1--3.0D[3.0, 2.0, 1.0], 3.0, 226458.067734 ritzRydberg
1s2.2s2.2p1(2.0P).9d1--3.0D[3.0, 2.0, 1.0], 2.0, 226458.067734 ritzRydberg
1s2.2s2.2p1(2.0P).9d1--3.0D[3.0, 2.0, 1.0], 1.0, 226458.067734 ritzRydberg

1s2.2s2.2p1(2.0P).9f1--3.0D[3.0, 2.0, 1.0], 3.0, 226458.067734 ritzRydberg
1s2.2s2.2p1(2.0P).9f1--3.0D[3.0, 2.0, 1.0], 2.0, 226458.067734 ritzRydberg
