-------------------------------------------------------------------------------------
Configuration      | Term   |    J |   Level (cm-1) | Uncertainty (cm-1) | Reference
                   |        |      |                |                    |           
2s2.2p2.(3P).5d    | 4P     |  5/2 |    465414.14   |                    |          
                   |        |  1/2 |    465541.     |                    |          
                   |        |  3/2 |    465541.     |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<0>).5f | 2[3]*  |  5/2 |    466038.17   |                    |          
                   |        |  7/2 |    466041.22   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).4d    | 2G     |  9/2 |    466190.47   |                    |          
                   |        |  7/2 |    466190.97   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).5f | 2[3]*  |  5/2 |    466191.03   |                    |          
                   |        |  7/2 |    466196.70   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<0>).5g | 2[4]   |  7/2 |    466229.23   |                    |          
                   |        |  9/2 |    466229.65   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).5f | 2[4]*  |  9/2 |    466290.90   |                    |          
                   |        |  7/2 |    466302.80   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).5f | 2[2]*  |  3/2 |    466295.15   |                    |          
                   |        |  5/2 |    466301.96   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).5d    | 2D     |  3/2 |    466353.24   |                    |          
                   |        |  5/2 |    466375.50   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).5g | 2[4]   |  9/2 |    466418.12   |                    |          
                   |        |  7/2 |    466418.61   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).5g | 2[5]   | 11/2 |    466468.56   |                    |          
                   |        |  9/2 |    466468.99   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).5g | 2[3]   |  7/2 |    466477.79   |                    |          
                   |        |  5/2 |    466477.84   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).5f | 2[1]*  |  1/2 |    466537.45   |                    |          
                   |        |  3/2 |    466544.70   |                    |          
                   |        |      |                |                    |           
2s.2p3.(3D*).3s    | 4D*    |  7/2 |    466572.2    |                    |          
                   |        |  5/2 |    466577.9    |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).5f | 2[5]*  | 11/2 |    466608.57   |                    |          
                   |        |  9/2 |    466637.99   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).5f | 2[2]*  |  3/2 |    466708.25   |                    |          
                   |        |  5/2 |    466722.42   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).5f | 2[3]*  |  7/2 |    466771.72   |                    |          
                   |        |  5/2 |    466788.60   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).5f | 2[4]*  |  9/2 |    466787.08   |                    |          
                   |        |  7/2 |    466821.72   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).5g | 2[2]   |  5/2 |    466789.57   |                    |          
                   |        |  3/2 |    466789.89   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).5g | 2[6]   | 11/2 |    466818.83   |                    |          
                   |        | 13/2 |    466819.26   |                    |          
                   |        |      |                |                    |           
