---------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |   J |   Level (cm-1) | Uncertainty (cm-1) | Leading percentages                | Reference
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4p     | 3P     |   2 |    473863.42   |             0.09   |  93                                |          
                     |        |   1 |    473932.50   |             0.12   |  94                                |          
                     |        |   0 |    473963.62   |             0.12   |  94                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).6s     | 5S*    |   2 |    475542.98+x |             0.13   | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4p     | 1D     |   2 |    477534.680  |             0.06   |  96                                |          
                     |        |     |                |                    |                                    |           
2p6                  | 1S     |   0 |    478826      |             2      |  95                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).4s     | 3P*    |   1 |    479827.5    |             0.2    |  97                                |          
                     |        |   2 |    479831.5    |             0.2    |  97                                |          
                     |        |   0 |    479836.38   |             0.11   |  97                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).4s     | 1P*    |   1 |    481288.0    |             0.2    |  96                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).6d     | 3D*    |   3 |    483600      |           200      |  99                                |          
                     |        |   2 |    483600      |           200      |  99                                |          
                     |        |   1 |    483600      |           200      |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).6f     | 5F     |   5 |    484001.3+x  |             0.7    | 100                                |          
                     |        |   2 |    484001.3+x  |             0.7    | 100                                |          
                     |        |   4 |    484001.3+x  |             0.7    | 100                                |          
                     |        |   1 |    484001.3+x  |             0.7    | 100                                |          
                     |        |   3 |    484001.3+x  |             0.7    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).6f     | 3F     |   3 |    484018.8    |             0.4    | 100                                |          
                     |        |   4 |    484019.1    |             0.4    | 100                                |          
                     |        |   2 |    484019.5    |             0.3    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).6g     | 5G*    |   6 |    484083.8+x  |             0.5    | 100                                |          
                     |        |   3 |    484083.8+x  |             0.5    | 100                                |          
                     |        |   5 |    484083.8+x  |             0.5    | 100                                |          
                     |        |   2 |    484083.8+x  |             0.5    | 100                                |          
                     |        |   4 |    484083.8+x  |             0.5    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).6g     | 3G*    |   4 |    484084.0    |             0.5    | 100                                |          
                     |        |   3 |    484084.0    |             0.5    | 100                                |          
                     |        |   5 |    484084.0    |             0.5    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).7s     | 5S*    |   2 |    486165.7+x  |             0.3    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4d     | 3F*    |   3 |    487624.9    |             0.13   |  99                                |          
                     |        |   4 |    487633.1    |             0.3    |  98                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4d     | 3G*    |   5 |    487908.04   |             0.08   | 100                                |          
                     |        |   4 |    487930.17   |             0.08   |  98                                |          
                     |        |   3 |    487953.47   |             0.07   |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4d     | 1G*    |   4 |    488046.23   |             0.13   |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4d     | 3D*    |   2 |    488100      |           600      |  96                                |          
                     |        |   1 |    488100      |           600      |  96                                |          
                     |        |   3 |    488100      |           600      |  96                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4d     | 3P*    |   1 |    489000      |           500      |  98                                |          
                     |        |   0 |    489000      |           500      |  98                                |          
                     |        |   2 |    489000      |           500      |  98                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4d     | 3S*    |   1 |    489000?     |           800      |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4d     | 1P*    |   1 |    489200      |           900      |  97                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4d     | 1D*    |   2 |    489200      |           500      |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4d     | 1F*    |   3 |    489900      |           400      |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).7d     | 3D*    |   1 |    490000?     |           500      |  97                                |          
                     |        |   3 |    490000?     |           500      |  97                                |          
                     |        |   2 |    490000?     |           500      |  97                                |          
                     |        |     |                |                    |                                    |           
