1s2.2s2.2p3(2.0P).4d1--3.0F[4.0, 3.0, 2.0], 2.0, 143367.449984

1s2.2s2.2p3(2.0P).4d1--1.0F[3.0], 3.0, 143367.449984

1s2.2s2.2p3(2.0P).4p1--3.0P[2.0, 1.0, 0.0], 2.0, 143394.988944
1s2.2s2.2p3(2.0P).4p1--3.0P[2.0, 1.0, 0.0], 1.0, 143394.988944
1s2.2s2.2p3(2.0P).4p1--3.0P[2.0, 1.0, 0.0], 0.0, 143394.988944

1s2.2s2.2p3(2.0P).4f1--3.0G[5.0, 4.0, 3.0], 5.0, 143840.595576
1s2.2s2.2p3(2.0P).4f1--3.0G[5.0, 4.0, 3.0], 4.0, 143840.595576
1s2.2s2.2p3(2.0P).4f1--3.0G[5.0, 4.0, 3.0], 3.0, 143840.595576

1s2.2s2.2p3(2.0P).4f1--1.0G[4.0], 4.0, 143840.595576

1s2.2s2.2p3(2.0P).4f1--3.0F[4.0, 3.0, 2.0], 4.0, 143840.595576
1s2.2s2.2p3(2.0P).4f1--3.0F[4.0, 3.0, 2.0], 3.0, 143840.595576
1s2.2s2.2p3(2.0P).4f1--3.0F[4.0, 3.0, 2.0], 2.0, 143840.595576

1s2.2s2.2p3(2.0P).4f1--1.0F[3.0], 3.0, 143840.595576

1s2.2s2.2p3(2.0P).4p1--1.0D[2.0], 2.0, 144885.932355

1s2.2s2.2p3(2.0P).4f1--1.0D[2.0], 2.0, 144885.932355

1s2.2s2.2p3(2.0P).5p1--1.0P[1.0], 1.0, 145079.035245

1s2.2s2.2p3(2.0P).4p1--3.0D[3.0, 2.0, 1.0], 3.0, 145537.824961
1s2.2s2.2p3(2.0P).4p1--3.0D[3.0, 2.0, 1.0], 2.0, 145537.824961
1s2.2s2.2p3(2.0P).4p1--3.0D[3.0, 2.0, 1.0], 1.0, 145537.824961

1s2.2s2.2p3(2.0P).4f1--3.0D[3.0, 2.0, 1.0], 3.0, 145537.824961
1s2.2s2.2p3(2.0P).4f1--3.0D[3.0, 2.0, 1.0], 2.0, 145537.824961
1s2.2s2.2p3(2.0P).4f1--3.0D[3.0, 2.0, 1.0], 1.0, 145537.824961

1s2.2s2.2p3(2.0P).5p1--3.0P[2.0, 1.0, 0.0], 2.0, 145760.655926
1s2.2s2.2p3(2.0P).5p1--3.0P[2.0, 1.0, 0.0], 1.0, 145760.655926
1s2.2s2.2p3(2.0P).5p1--3.0P[2.0, 1.0, 0.0], 0.0, 145760.655926

1s2.2s2.2p3(2.0P).5p1--3.0S[1.0], 1.0, 145824.086358

1s2.2s2.2p3(2.0P).5d1--3.0F[4.0, 3.0, 2.0], 4.0, 145874.0
1s2.2s2.2p3(2.0P).5d1--3.0F[4.0, 3.0, 2.0], 3.0, 145874.0
1s2.2s2.2p3(2.0P).5d1--3.0F[4.0, 3.0, 2.0], 2.0, 145874.0

1s2.2s2.2p3(2.0P).5d1--1.0F[3.0], 3.0, 145874.0

1s2.2s2.2p3(2.0P).6p1--1.0P[1.0], 1.0, 146035.948357

1s2.2s2.2p3(2.0P).5f1--3.0G[5.0, 4.0, 3.0], 5.0, 146039.690719
1s2.2s2.2p3(2.0P).5f1--3.0G[5.0, 4.0, 3.0], 4.0, 146039.690719
1s2.2s2.2p3(2.0P).5f1--3.0G[5.0, 4.0, 3.0], 3.0, 146039.690719

1s2.2s2.2p3(2.0P).5f1--1.0G[4.0], 4.0, 146039.690719

1s2.2s2.2p3(2.0P).5f1--3.0F[4.0, 3.0, 2.0], 4.0, 146039.690719
1s2.2s2.2p3(2.0P).5f1--3.0F[4.0, 3.0, 2.0], 3.0, 146039.690719
1s2.2s2.2p3(2.0P).5f1--3.0F[4.0, 3.0, 2.0], 2.0, 146039.690719

1s2.2s2.2p3(2.0P).5f1--1.0F[3.0], 3.0, 146039.690719

1s2.2s2.2p3(2.0P).5g1--3.0H[6.0, 5.0, 4.0], 6.0, 146212.17433
1s2.2s2.2p3(2.0P).5g1--3.0H[6.0, 5.0, 4.0], 5.0, 146212.17433
1s2.2s2.2p3(2.0P).5g1--3.0H[6.0, 5.0, 4.0], 4.0, 146212.17433

1s2.2s2.2p3(2.0P).5g1--1.0H[5.0], 5.0, 146212.17433

1s2.2s2.2p3(2.0P).5g1--3.0G[5.0, 4.0, 3.0], 5.0, 146212.17433
1s2.2s2.2p3(2.0P).5g1--3.0G[5.0, 4.0, 3.0], 4.0, 146212.17433
1s2.2s2.2p3(2.0P).5g1--3.0G[5.0, 4.0, 3.0], 3.0, 146212.17433

1s2.2s2.2p3(2.0P).5g1--1.0G[4.0], 4.0, 146212.17433

1s2.2s2.2p3(2.0P).5g1--3.0F[4.0, 3.0, 2.0], 4.0, 146212.17433
1s2.2s2.2p3(2.0P).5g1--3.0F[4.0, 3.0, 2.0], 3.0, 146212.17433
1s2.2s2.2p3(2.0P).5g1--3.0F[4.0, 3.0, 2.0], 2.0, 146212.17433

1s2.2s2.2p3(2.0P).5g1--1.0F[3.0], 3.0, 146212.17433

1s2.2s2.2p3(2.0P).6p1--3.0P[2.0, 1.0, 0.0], 2.0, 146636.80813
1s2.2s2.2p3(2.0P).6p1--3.0P[2.0, 1.0, 0.0], 1.0, 146636.80813
1s2.2s2.2p3(2.0P).6p1--3.0P[2.0, 1.0, 0.0], 0.0, 146636.80813

1s2.2s2.2p3(2.0P).5p1--1.0D[2.0], 2.0, 146638.81729

1s2.2s2.2p3(2.0P).5f1--1.0D[2.0], 2.0, 146638.81729

1s2.2s2.2p3(2.0P).6f1--3.0G[5.0, 4.0, 3.0], 5.0, 147126.764554
1s2.2s2.2p3(2.0P).6f1--3.0G[5.0, 4.0, 3.0], 4.0, 147126.764554
1s2.2s2.2p3(2.0P).6f1--3.0G[5.0, 4.0, 3.0], 3.0, 147126.764554

1s2.2s2.2p3(2.0P).6f1--1.0G[4.0], 4.0, 147126.764554

1s2.2s2.2p3(2.0P).6f1--3.0F[4.0, 3.0, 2.0], 4.0, 147126.764554
1s2.2s2.2p3(2.0P).6f1--3.0F[4.0, 3.0, 2.0], 3.0, 147126.764554
1s2.2s2.2p3(2.0P).6f1--3.0F[4.0, 3.0, 2.0], 2.0, 147126.764554

1s2.2s2.2p3(2.0P).6f1--1.0F[3.0], 3.0, 147126.764554

1s2.2s2.2p3(2.0P).6g1--3.0H[6.0, 5.0, 4.0], 6.0, 147166.687397
1s2.2s2.2p3(2.0P).6g1--3.0H[6.0, 5.0, 4.0], 5.0, 147166.687397
1s2.2s2.2p3(2.0P).6g1--3.0H[6.0, 5.0, 4.0], 4.0, 147166.687397

1s2.2s2.2p3(2.0P).6g1--1.0H[5.0], 5.0, 147166.687397

1s2.2s2.2p3(2.0P).6g1--3.0G[5.0, 4.0, 3.0], 5.0, 147166.687397
1s2.2s2.2p3(2.0P).6g1--3.0G[5.0, 4.0, 3.0], 4.0, 147166.687397
1s2.2s2.2p3(2.0P).6g1--3.0G[5.0, 4.0, 3.0], 3.0, 147166.687397

1s2.2s2.2p3(2.0P).6g1--1.0G[4.0], 4.0, 147166.687397

1s2.2s2.2p3(2.0P).6g1--3.0F[4.0, 3.0, 2.0], 4.0, 147166.687397
1s2.2s2.2p3(2.0P).6g1--3.0F[4.0, 3.0, 2.0], 3.0, 147166.687397
1s2.2s2.2p3(2.0P).6g1--3.0F[4.0, 3.0, 2.0], 2.0, 147166.687397

1s2.2s2.2p3(2.0P).6g1--1.0F[3.0], 3.0, 147166.687397

1s2.2s2.2p3(2.0P).5p1--3.0D[3.0, 2.0, 1.0], 3.0, 147182.876323
1s2.2s2.2p3(2.0P).5p1--3.0D[3.0, 2.0, 1.0], 2.0, 147182.876323
1s2.2s2.2p3(2.0P).5p1--3.0D[3.0, 2.0, 1.0], 1.0, 147182.876323

1s2.2s2.2p3(2.0P).5f1--3.0D[3.0, 2.0, 1.0], 3.0, 147182.876323
1s2.2s2.2p3(2.0P).5f1--3.0D[3.0, 2.0, 1.0], 2.0, 147182.876323
1s2.2s2.2p3(2.0P).5f1--3.0D[3.0, 2.0, 1.0], 1.0, 147182.876323

1s2.2s2.2p3(2.0P).6d1--3.0F[4.0, 3.0, 2.0], 4.0, 147232.299992
1s2.2s2.2p3(2.0P).6d1--3.0F[4.0, 3.0, 2.0], 3.0, 147232.299992
1s2.2s2.2p3(2.0P).6d1--3.0F[4.0, 3.0, 2.0], 2.0, 147232.299992

1s2.2s2.2p3(2.0P).6d1--1.0F[3.0], 3.0, 147232.299992

1s2.2s2.2p3(2.0P).6h1--3.0I[7.0, 6.0, 5.0], 7.0, 147246.821759
1s2.2s2.2p3(2.0P).6h1--3.0I[7.0, 6.0, 5.0], 6.0, 147246.821759
