
1s2.2s2.2p3.18n1--5.0N[13.0, 12.0, 11.0, 10.0, 9.0], 11.0, 104432.344435
1s2.2s2.2p3.18n1--5.0N[13.0, 12.0, 11.0, 10.0, 9.0], 10.0, 104432.344435
1s2.2s2.2p3.18n1--5.0N[13.0, 12.0, 11.0, 10.0, 9.0], 9.0, 104432.344435

1s2.2s2.2p3.18n1--3.0N[12.0, 11.0, 10.0], 12.0, 104432.368424
1s2.2s2.2p3.18n1--3.0N[12.0, 11.0, 10.0], 11.0, 104432.368424
1s2.2s2.2p3.18n1--3.0N[12.0, 11.0, 10.0], 10.0, 104432.368424

1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 105445.27482479386
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 105445.27482479386
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 105445.27482479386
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 105445.27482479386
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 105445.27482479386

1s2.2s2.2p3.5g1--3.0G[5.0, 4.0, 3.0], 5.0, 105445.27482479386
1s2.2s2.2p3.5g1--3.0G[5.0, 4.0, 3.0], 4.0, 105445.27482479386
1s2.2s2.2p3.5g1--3.0G[5.0, 4.0, 3.0], 3.0, 105445.27482479386

1s2.2s2.2p3.7p1--5.0P[3.0, 2.0, 1.0], 3.0, 106995.152217
1s2.2s2.2p3.7p1--5.0P[3.0, 2.0, 1.0], 2.0, 106995.152217
1s2.2s2.2p3.7p1--5.0P[3.0, 2.0, 1.0], 1.0, 106995.152217

1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107008.1145
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107008.1145
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107008.1145
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107008.1145
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107008.1145

1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107008.1145
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107008.1145
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107008.1145
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107008.1145
1s2.2s2.2p3.5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107008.1145

1s2.2s2.2p3.5g1--3.0G[5.0, 4.0, 3.0], 5.0, 107008.1145
1s2.2s2.2p3.5g1--3.0G[5.0, 4.0, 3.0], 4.0, 107008.1145
1s2.2s2.2p3.5g1--3.0G[5.0, 4.0, 3.0], 3.0, 107008.1145

1s2.2s2.2p3.5g1--3.0G[5.0, 4.0, 3.0], 5.0, 107008.1145
1s2.2s2.2p3.5g1--3.0G[5.0, 4.0, 3.0], 4.0, 107008.1145
1s2.2s2.2p3.5g1--3.0G[5.0, 4.0, 3.0], 3.0, 107008.1145

1s2.2s2.2p3.7p1--3.0P[2.0, 1.0, 0.0], 2.0, 107068.737564
1s2.2s2.2p3.7p1--3.0P[2.0, 1.0, 0.0], 1.0, 107068.737564
1s2.2s2.2p3.7p1--3.0P[2.0, 1.0, 0.0], 0.0, 107068.737564

1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 7.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 6.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 5.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 4.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 3.0, 107552.699433

1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 7.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 6.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 5.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 4.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 3.0, 107552.699433

1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 7.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 6.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 5.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 4.0, 107552.699433
1s2.2s2.2p3.6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 3.0, 107552.699433

1s2.2s2.2p3.6h1--3.0H[6.0, 5.0, 4.0], 6.0, 107552.699433
1s2.2s2.2p3.6h1--3.0H[6.0, 5.0, 4.0], 5.0, 107552.699433
1s2.2s2.2p3.6h1--3.0H[6.0, 5.0, 4.0], 4.0, 107552.699433

1s2.2s2.2p3.6h1--3.0H[6.0, 5.0, 4.0], 6.0, 107552.699433
1s2.2s2.2p3.6h1--3.0H[6.0, 5.0, 4.0], 5.0, 107552.699433
1s2.2s2.2p3.6h1--3.0H[6.0, 5.0, 4.0], 4.0, 107552.699433

1s2.2s2.2p3.6h1--3.0H[6.0, 5.0, 4.0], 6.0, 107552.699433
1s2.2s2.2p3.6h1--3.0H[6.0, 5.0, 4.0], 5.0, 107552.699433
1s2.2s2.2p3.6h1--3.0H[6.0, 5.0, 4.0], 4.0, 107552.699433

1s2.2s2.2p3.7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107597.266275
1s2.2s2.2p3.7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107597.266275
1s2.2s2.2p3.7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107597.266275
1s2.2s2.2p3.7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107597.266275
1s2.2s2.2p3.7g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107597.266275

1s2.2s2.2p3.7g1--3.0G[5.0, 4.0, 3.0], 5.0, 107597.266292
1s2.2s2.2p3.7g1--3.0G[5.0, 4.0, 3.0], 4.0, 107597.266292
1s2.2s2.2p3.7g1--3.0G[5.0, 4.0, 3.0], 3.0, 107597.266292

1s2.2s2.2p3.8p1--5.0P[3.0, 2.0, 1.0], 3.0, 107729.893292
1s2.2s2.2p3.8p1--5.0P[3.0, 2.0, 1.0], 2.0, 107729.893292
1s2.2s2.2p3.8p1--5.0P[3.0, 2.0, 1.0], 1.0, 107729.893292

1s2.2s2.2p3.8p1--3.0P[2.0, 1.0, 0.0], 2.0, 107776.458721
1s2.2s2.2p3.8p1--3.0P[2.0, 1.0, 0.0], 1.0, 107776.458721
1s2.2s2.2p3.8p1--3.0P[2.0, 1.0, 0.0], 0.0, 107776.458721

1s2.2s2.2p3.7h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 7.0, 108092.683710406
1s2.2s2.2p3.7h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 6.0, 108092.683710406
1s2.2s2.2p3.7h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 5.0, 108092.683710406
1s2.2s2.2p3.7h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 4.0, 108092.683710406
1s2.2s2.2p3.7h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 3.0, 108092.683710406

1s2.2s2.2p3.7h1--3.0H[6.0, 5.0, 4.0], 6.0, 108092.68371040605
1s2.2s2.2p3.7h1--3.0H[6.0, 5.0, 4.0], 5.0, 108092.68371040605
1s2.2s2.2p3.7h1--3.0H[6.0, 5.0, 4.0], 4.0, 108092.68371040605

1s2.2s2.2p3.8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 108121.134637
1s2.2s2.2p3.8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 108121.134637
1s2.2s2.2p3.8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 108121.134637
1s2.2s2.2p3.8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 108121.134637
1s2.2s2.2p3.8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 108121.134637

1s2.2s2.2p3.8f1--3.0F[4.0, 3.0, 2.0], 4.0, 108121.15409
1s2.2s2.2p3.8f1--3.0F[4.0, 3.0, 2.0], 3.0, 108121.15409
1s2.2s2.2p3.8f1--3.0F[4.0, 3.0, 2.0], 2.0, 108121.15409

1s2.2s2.2p3.8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 108122.479947
1s2.2s2.2p3.8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 108122.479947
1s2.2s2.2p3.8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 108122.479947
1s2.2s2.2p3.8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 108122.479947
1s2.2s2.2p3.8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 108122.479947

1s2.2s2.2p3.8g1--3.0G[5.0, 4.0, 3.0], 5.0, 108122.480132
1s2.2s2.2p3.8g1--3.0G[5.0, 4.0, 3.0], 4.0, 108122.480132
1s2.2s2.2p3.8g1--3.0G[5.0, 4.0, 3.0], 3.0, 108122.480132

1s2.2s2.2p3.17f1--3.0F[4.0, 3.0, 2.0], 4.0, 108149.862174
1s2.2s2.2p3.17f1--3.0F[4.0, 3.0, 2.0], 3.0, 108149.862174
1s2.2s2.2p3.17f1--3.0F[4.0, 3.0, 2.0], 2.0, 108149.862174

1s2.2s2.2p3.17f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 108149.864239
1s2.2s2.2p3.17f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 108149.864239
1s2.2s2.2p3.17f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 108149.864239
1s2.2s2.2p3.17f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 108149.864239
1s2.2s2.2p3.17f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 108149.864239

1s2.2s2.2p3.9p1--5.0P[3.0, 2.0, 1.0], 3.0, 108212.361401
1s2.2s2.2p3.9p1--5.0P[3.0, 2.0, 1.0], 2.0, 108212.361401
1s2.2s2.2p3.9p1--5.0P[3.0, 2.0, 1.0], 1.0, 108212.361401

1s2.2s2.2p3.9p1--3.0P[2.0, 1.0, 0.0], 2.0, 108243.699452
1s2.2s2.2p3.9p1--3.0P[2.0, 1.0, 0.0], 1.0, 108243.699452
1s2.2s2.2p3.9p1--3.0P[2.0, 1.0, 0.0], 0.0, 108243.699452

1s2.2s2.2p3.7i1--5.0I[8.0, 7.0, 6.0, 5.0, 4.0], 8.0, 108412.904424
1s2.2s2.2p3.7i1--5.0I[8.0, 7.0, 6.0, 5.0, 4.0], 7.0, 108412.904424
1s2.2s2.2p3.7i1--5.0I[8.0, 7.0, 6.0, 5.0, 4.0], 6.0, 108412.904424
