-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |       Level (cm-1) | Uncertainty (cm-1) |           Landé | Leading percentages                                | Reference
2s2.2p.(2P*<1/2>).5f   | 2[7/2]    |   3 |     86414.5662     |           0.0020   |                 |  96                                                |       L20057
                       |           |   4 |     86414.7662     |           0.0009   |                 |  96                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6s              | 1P*       |   1 |     86416.575      |           0.018    |                 |  48         :    34  2s2.2p.5d             1P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).5g   | 2[7/2]*   |   3 |     86426.7910     |           0.0006   |                 |  99                                                |       L20057
                       |           |   4 |     86426.7917     |           0.0006   |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).5g   | 2[9/2]*   |   5 |     86427.2556     |           0.0003   |                 |  99                                                |       L20057
                       |           |   4 |     86427.25603    |           0.0004   |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5d              | 1F*       |   3 |     86449.208      |           0.022    |                 |  92         :     4  2s2.2p.5d             3F*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).5f   | 2[7/2]    |   3 |     86469.5436     |           0.0021   |                 |  96                                                |       L20057
                       |           |   4 |     86469.7252     |           0.0015   |                 |  95         :     4  2s2.2p.(2P*<1/2>).5f  2[7/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).5f   | 2[5/2]    |   3 |     86482.6727     |           0.0015   |                 |  93         :     7  2s2.2p.(2P*<1/2>).5f  2[5/2]  |       L20057
                       |           |   2 |     86482.794      |           0.004    |                 |  93         :     7  2s2.2p.(2P*<1/2>).5f  2[5/2]  |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).5g   | 2[9/2]*   |   4 |     86485.5912     |           0.0004   |                 |  99                                                |       L20057
                       |           |   5 |     86485.5929     |           0.0006   |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).5f   | 2[9/2]    |   5 |     86488.0240     |           0.0006   |                 | 100                                                |       L20057
                       |           |   4 |     86488.3559     |           0.0009   |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).5g   | 2[7/2]*   |   3 |     86489.6298     |           0.0005   |                 |  99                                                |       L20057
                       |           |   4 |     86489.6302     |           0.0006   |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5d              | 1P*       |   1 |     86491.441      |           0.015    |                 |  52         :    41  2s2.2p.6s             1P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).5g   | 2[11/2]*  |   5 |     86494.8507     |           0.0005   |                 | 100                                                |       L20057
                       |           |   6 |     86494.85415    |           0.0003   |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).5g   | 2[5/2]*   |   2 |     86498.4194     |           0.0012   |                 | 100                                                |       L20057
                       |           |   3 |     86498.4202     |           0.0010   |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).5f   | 2[3/2]    |   1 |     86498.523      |           0.017    |                 | 100                                                |       L20057
                       |           |   2 |     86498.753      |           0.008    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.5d              | 3P*       |   2 |     86506.7138     |           0.0020   |                 |  80         :    15  2s2.2p.6s             3P*     |       L20057
                       |           |   1 |     86519.506      |           0.019    |                 |  87         :     7  2s2.2p.6s             3P*     |       L20057
                       |           |   0 |     86523.19       |           0.03     |                 |  93         :     5  2s2.2p.6s             3P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6p              | 1P        |   1 |     86912.89       |           0.03     |                 |  71         :    25  2s2.2p.6p             3D      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6p              | 3D        |   1 |     86956.176      |           0.021    |                 |  71         :    21  2s2.2p.6p             1P      |       L20057
                       |           |   2 |     86965.494      |           0.023    |                 |  95                                                |       L20057
                       |           |   3 |     87002.31       |           0.03     |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
