---------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |    J |   Level (cm-1) | Uncertainty (cm-1) | Leading percentages                           | Reference
2s2.2p2.(1D).4d      | 2P     |      |    701324      |              9     |  78         :   18-4  2s.2p3.(3D*).3p    2P    |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D<2>).4f   | 2[4]*  |  7/2 |    703249.3    |              0.9   |  98                                           |    L17865
                     |        |  9/2 |    703249.7    |              1.0   |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D<2>).4f   | 2[3]*  |  5/2 |    703357.4    |              1.0   |  98                                           |    L17865
                     |        |  7/2 |    703359.9    |              0.9   |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).4d      | 2S     |  1/2 |    703604      |             12     |  78         :    19  2s2.2p2.(1S).4s    2S    |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(3D*).3p      | 2F     |  5/2 |    703800?     |             30     |  91         :     6  2s2.2p2.(3P).5d    2F    |    L17865
                     |        |  7/2 |    703812?     |             20     |  92         :     5  2s2.2p2.(3P).5d    2F    |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D<2>).4f   | 2[2]*  |  3/2 |    704085.3    |              0.9   |  96                                           |    L17865
                     |        |  5/2 |    704121.0    |              0.9   |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D<2>).4f   | 2[5]*  |  9/2 |    704404.8    |              1.1   |  99                                           |    L17865
                     |        | 11/2 |    704406.5    |              1.1   |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D<2>).4f   | 2[1]*  |  3/2 |    704888.4    |              1.1   |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).5d      | 4P     |  5/2 |    712408      |             22     |  80         :    16                     4D    |    L17865
                     |        |  3/2 |    712611      |             22     |  91         :     6                     4D    |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<0>).5g   | 2[4]   |      |    713370?     |             60     |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<1>).5g   | 2[4]   |      |    713580?     |             60     |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<1>).5g   | 2[5]   |      |    713773?     |             30     |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<1>).5g   | 2[3]   |      |    713775?     |             60     |  96                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).5g   | 2[6]   |      |    714325?     |             30     |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).5g   | 2[2]   |      |    714422?     |             40     |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).5g   | 2[3]   |      |    714555?     |             40     |  96                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).5g   | 2[4]   |      |    714675?     |             50     |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).5g   | 2[5]   |      |    714720?     |             30     |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1S).4p      | 2P*    |  3/2 |    716286.3    |              1.2   |  80         :    10  2s.2p3.(3P*).3s    2P*   |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(5S*).4s      | 6S*    |  5/2 |    722809.4+x  |              1.0   | 100                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).5s      | 2D     |      |    724914      |              9     |  93                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1S).4d      | 2D     |      |    732723      |             10     |  87         :     6  2s2.2p2.(3P).6d    2D    |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).6d      | 2F     |  5/2 |    733935      |             16     |  87                                           |    L17865
                     |        |  7/2 |    734062      |             19     |  91                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<0>).6h   | 2[5]*  |      |    734926?     |             60     |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<1>).6h   | 2[5]*  |      |    735182?     |             60     |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<1>).6h   | 2[6]*  |      |    735265?     |             30     |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<1>).6h   | 2[4]*  |      |    735289?     |             60     |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).6h   | 2[3]*  |      |    735994?     |             40     |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).6h   | 2[7]*  |      |    736012?     |             30     |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).6h   | 2[4]*  |      |    736022?     |             40     |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).6h   | 2[6]*  |      |    736162?     |             40     |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P<2>).6h   | 2[5]*  |      |    736167?     |             50     |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(5S*).4p      | 6P     |  3/2 |    738874.8+x  |              1.4   | 100                                           |    L17865
                     |        |  5/2 |    738892.5+x  |              1.0   | 100                                           |    L17865
                     |        |  7/2 |    738923.4+x  |              0.8   | 100                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).5d      | 2F     |      |    740930      |             30     |  95                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D<2>).5g   | 2[5]   |      |    743464?     |             30     |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).6s      | 2D     |      |    754900?     |            100     |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(5S*).4d      | 6D*    |      |    756482.4+x  |              1.8   | 100                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(3D*).3d      | 4P*    |  5/2 |    757512      |              8     |  96                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p3.(5S*).4f      | 6F     |      |    763027.1+x  |              1.1   | 100                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D<2>).6h   | 2[6]*  |      |    765058      |             30     |  99                                           |    L17865
---------------------|--------|------|----------------|--------------------|-----------------------------------------------|-----------
---------------------|--------|------|----------------|--------------------|-----------------------------------------------|-----------
Ne V (2s2.2p2 3P<0>) | Limit  |  --- |   [783890]     |             20     |                                               |    L11782
-----------------------------------------------------------------------------------------------------------------
