
1s2.2s2.2p3(4.0S).9g1--3.0G[5.0, 4.0, 3.0], 5.0, 107100.59563904075 ritzRydberg
1s2.2s2.2p3(4.0S).9g1--3.0G[5.0, 4.0, 3.0], 4.0, 107100.59563904075 ritzRydberg
1s2.2s2.2p3(4.0S).9g1--3.0G[5.0, 4.0, 3.0], 3.0, 107100.59563904075 ritzRydberg

1s2.2s2.2p3(4.0S).17s1--5.0S[2.0], 2.0, 107128.772464 ritzRydberg

1s2.2s2.2p3(4.0S).17p1--3.0P[2.0, 1.0, 0.0], 2.0, 107133.007648 ritzRydberg
1s2.2s2.2p3(4.0S).17p1--3.0P[2.0, 1.0, 0.0], 1.0, 107133.007648 ritzRydberg
1s2.2s2.2p3(4.0S).17p1--3.0P[2.0, 1.0, 0.0], 0.0, 107133.007648 ritzRydberg

1s2.2s2.2p3(4.0S).18p1--5.0P[3.0, 2.0, 1.0], 3.0, 107157.892586 ritzRydberg
1s2.2s2.2p3(4.0S).18p1--5.0P[3.0, 2.0, 1.0], 2.0, 107157.892586 ritzRydberg
1s2.2s2.2p3(4.0S).18p1--5.0P[3.0, 2.0, 1.0], 1.0, 107157.892586 ritzRydberg

1s2.2s2.2p3(4.0S).10g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107194.19681703493 ritzRydberg
1s2.2s2.2p3(4.0S).10g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107194.19681703493 ritzRydberg
1s2.2s2.2p3(4.0S).10g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107194.19681703493 ritzRydberg
1s2.2s2.2p3(4.0S).10g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107194.19681703493 ritzRydberg
1s2.2s2.2p3(4.0S).10g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107194.19681703493 ritzRydberg

1s2.2s2.2p3(4.0S).10g1--3.0G[5.0, 4.0, 3.0], 5.0, 107194.19681703493 ritzRydberg
1s2.2s2.2p3(4.0S).10g1--3.0G[5.0, 4.0, 3.0], 4.0, 107194.19681703493 ritzRydberg
1s2.2s2.2p3(4.0S).10g1--3.0G[5.0, 4.0, 3.0], 3.0, 107194.19681703493 ritzRydberg

1s2.2s2.2p3(4.0S).18s1--5.0S[2.0], 2.0, 107229.542652 ritzRydberg

1s2.2s2.2p3(4.0S).18p1--3.0P[2.0, 1.0, 0.0], 2.0, 107232.079367 ritzRydberg
1s2.2s2.2p3(4.0S).18p1--3.0P[2.0, 1.0, 0.0], 1.0, 107232.079367 ritzRydberg
1s2.2s2.2p3(4.0S).18p1--3.0P[2.0, 1.0, 0.0], 0.0, 107232.079367 ritzRydberg

1s2.2s2.2p3(4.0S).19p1--5.0P[3.0, 2.0, 1.0], 3.0, 107254.556571 ritzRydberg
1s2.2s2.2p3(4.0S).19p1--5.0P[3.0, 2.0, 1.0], 2.0, 107254.556571 ritzRydberg
1s2.2s2.2p3(4.0S).19p1--5.0P[3.0, 2.0, 1.0], 1.0, 107254.556571 ritzRydberg

1s2.2s2.2p3(4.0S).11g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107283.07702893647 ritzRydberg
1s2.2s2.2p3(4.0S).11g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107283.07702893647 ritzRydberg
1s2.2s2.2p3(4.0S).11g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107283.07702893647 ritzRydberg
1s2.2s2.2p3(4.0S).11g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107283.07702893647 ritzRydberg
1s2.2s2.2p3(4.0S).11g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107283.07702893647 ritzRydberg

1s2.2s2.2p3(4.0S).11g1--3.0G[5.0, 4.0, 3.0], 5.0, 107283.07702893647 ritzRydberg
1s2.2s2.2p3(4.0S).11g1--3.0G[5.0, 4.0, 3.0], 4.0, 107283.07702893647 ritzRydberg
1s2.2s2.2p3(4.0S).11g1--3.0G[5.0, 4.0, 3.0], 3.0, 107283.07702893647 ritzRydberg

1s2.2s2.2p3(4.0S).19s1--5.0S[2.0], 2.0, 107323.54503 ritzRydberg

1s2.2s2.2p3(4.0S).19p1--3.0P[2.0, 1.0, 0.0], 2.0, 107324.771985 ritzRydberg
