
1s2.2s1.2p2(4.0P).4f1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 0.0, 0

1s2.2s1.2p2(4.0P).4f1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 268463.26
1s2.2s1.2p2(4.0P).4f1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 268415.85
1s2.2s1.2p2(4.0P).4f1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 268378.35
1s2.2s1.2p2(4.0P).4f1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 0
1s2.2s1.2p2(4.0P).4f1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 0

1s2.2s1.2p2(4.0P).4f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 268733.72
1s2.2s1.2p2(4.0P).4f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 268724.91
1s2.2s1.2p2(4.0P).4f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 268716.02
1s2.2s1.2p2(4.0P).4f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 0
1s2.2s1.2p2(4.0P).4f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 0

1s2.2s1.2p2(4.0P).5f1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 278420.26
1s2.2s1.2p2(4.0P).5f1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 278367.3
1s2.2s1.2p2(4.0P).5f1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 278333.5
1s2.2s1.2p2(4.0P).5f1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 0
1s2.2s1.2p2(4.0P).5f1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 0
