T, Cp, H, S
15750, 20.7861970911, 341240.710677, asdf746.92543083
15800, 20.7861967818, 342280.020524, asdf746.964960933
15850, 20.7861964755, 343319.330355, asdf747.004366138
15900, 20.7861961721, 344358.640171, asdf747.04364723
15950, 20.7861958717, 345397.949973, asdf747.08280499
16000, 20.7861955742, 346437.259759, asdf747.121840189
16050, 20.7861952796, 347476.56953, asdf747.160753592
16100, 20.7861949877, 348515.879287, asdf747.199545957
16150, 20.7861946987, 349555.189029, asdf747.238218035
16200, 20.7861944124, 350594.498757, asdf747.276770569
16250, 20.7861941288, 351633.80847, asdf747.315204296
16300, 20.7861938479, 352673.11817, asdf747.353519945
16350, 20.7861935696, 353712.427855, asdf747.391718241
16400, 20.7861932939, 354751.737527, asdf747.4297999
16450, 20.7861930209, 355791.047184, asdf747.467765633
16500, 20.7861927503, 356830.356829, asdf747.505616141
16550, 20.7861924823, 357869.666459, asdf747.543352124
16600, 20.7861922168, 358908.976077, asdf747.580974272
16650, 20.7861919537, 359948.285681, asdf747.61848327
16700, 20.786191693, 360987.595272, asdf747.655879795
16750, 20.7861914347, 362026.904851, asdf747.693164522
16800, 20.7861911788, 363066.214416, asdf747.730338116
16850, 20.7861909253, 364105.523968, asdf747.767401238
16900, 20.786190674, 365144.833508, asdf747.804354542
16950, 20.786190425, 366184.143036, asdf747.841198677
17000, 20.7861901783, 367223.452551, asdf747.877934287
17050, 20.7861899338, 368262.762054, asdf747.914562008
17100, 20.7861896915, 369302.071544, asdf747.951082474
17150, 20.7861894513, 370341.381023, asdf747.987496309
17200, 20.7861892133, 371380.69049, asdf748.023804135
17250, 20.7861889775, 372419.999944, asdf748.060006568
17300, 20.7861887437, 373459.309387, asdf748.096104217
17350, 20.786188512, 374498.618819, asdf748.132097688
17400, 20.7861882823, 375537.928239, asdf748.167987579
17450, 20.7861880547, 376577.237647, asdf748.203774485
17500, 20.786187829, 377616.547044, asdf748.239458997
17550, 20.7861876054, 378655.85643, asdf748.275041697
17600, 20.7861873837, 379695.165805, asdf748.310523165
17650, 20.7861871639, 380734.475168, asdf748.345903976
17700, 20.786186946, 381773.784521, asdf748.381184699
17750, 20.78618673, 382813.093863, asdf748.416365899
17800, 20.7861865159, 383852.403194, asdf748.451448135
17850, 20.7861863036, 384891.712515, asdf748.486431963
17900, 20.7861860931, 385931.021824, asdf748.521317934
17950, 20.7861858845, 386970.331124, asdf748.556106593
18000, 20.7861856776, 388009.640413, asdf748.590798482
18050, 20.7861854725, 389048.949692, asdf748.625394137
18100, 20.7861852691, 390088.25896, asdf748.659894092
18150, 20.7861850674, 391127.568219, asdf748.694298873
18200, 20.7861848674, 392166.877467, asdf748.728609005
18250, 20.7861846692, 393206.186705, asdf748.762825007
18300, 20.7861844725, 394245.495934, asdf748.796947395
18350, 20.7861842776, 395284.805153, asdf748.830976678
18400, 20.7861840842, 396324.114362, asdf748.864913364
18450, 20.7861838925, 397363.423561, asdf748.898757955
18500, 20.7861837023, 398402.732751, asdf748.93251095
