config, term, J, epsion
2s2.2p.(2P<1/2>).8d, 2[3/2, 1, 11.045907

2s2.2p.(2P<1/2>).8f, 2[5/2, 2, 11.047216
2s2.2p.(2P<1/2>).8f, 2[5/2, 3, 11.047219

2s2.2p.(2P<1/2>).8f, 2[7/2, 4, 11.047224
2s2.2p.(2P<1/2>).8f, 2[7/2, 3, 11.047224

2s2.2p.(2P<3/2>).9s, 2[3/2, 2, 11.04971

2s2.2p.(2P<3/2>).8d, 2[7/2, 4, 11.051527

2s2.2p.(2P<3/2>).8d, 2[5/2, 2, 11.052284
2s2.2p.(2P<3/2>).8d, 2[5/2, 3, 11.052451

2s2.2p.(2P<3/2>).9s, 2[3/2, 1, 11.053111

2s2.2p.(2P<3/2>).8d, 2[7/2, 3, 11.053899

2s2.2p.(2P<3/2>).8f, 2[7/2, 4, 11.054698
2s2.2p.(2P<3/2>).8f, 2[7/2, 3, 11.054698

2s2.2p.(2P<3/2>).8d, 2[3/2, 2, 11.05475
2s2.2p.(2P<3/2>).8d, 2[3/2, 1, 11.055019

2s2.2p.(2P<3/2>).8f, 2[5/2, 3, 11.055041
2s2.2p.(2P<3/2>).8f, 2[5/2, 2, 11.055041

2s2.2p.(2P<3/2>).8f, 2[9/2, 5, 11.05532
2s2.2p.(2P<3/2>).8f, 2[9/2, 4, 11.05532

2s2.2p.(2P<3/2>).8d, 2[1/2, 0, 11.05557

2s2.2p.(2P<3/2>).8f, 2[3/2, 1, 11.05566
2s2.2p.(2P<3/2>).8f, 2[3/2, 2, 11.05566

2s2.2p.(2P<3/2>).8d, 2[1/2, 1, 11.055672

2s2.2p.(2P<1/2>).9p, 2[3/2, 1, 11.063411

2s2.2p.(2P<3/2>).9p, 2[5/2, 3, 11.071681
2s2.2p.(2P<3/2>).9p, 2[5/2, 2, 11.078002

2s2.2p.(2P<3/2>).9p, 2[1/2, 0, 11.081910

2s2.2p.(2P<1/2>).9d, 2[5/2, 2, 11.088092

2s2.2p.(2P<1/2>).9d, 2[3/2, 2, 11.09021

2s2.2p.(2P<1/2>).10, 2[1/2, 0, 11.09021

2s2.2p.(2P<1/2>).9d, 2[5/2, 3, 11.090329

2s2.2p.(2P<1/2>).10, 2[1/2, 1, 11.090616

2s2.2p.(2P<1/2>).9d, 2[3/2, 1, 11.091149

2s2.2p.(2P<3/2>).9d, 2[7/2, 4, 11.097328

2s2.2p.(2P<3/2>).9d, 2[5/2, 2, 11.097883
2s2.2p.(2P<3/2>).9d, 2[5/2, 3, 11.09825

2s2.2p.(2P<3/2>).10, 2[3/2, 1, 11.098407

2s2.2p.(2P<3/2>).9d, 2[7/2, 3, 11.098960

2s2.2p.(2P<3/2>).9d, 2[3/2, 2, 11.09949
2s2.2p.(2P<3/2>).9d, 2[3/2, 1, 11.099755

2s2.2p.(2P<3/2>).9d, 2[1/2, 1, 11.09995
2s2.2p.(2P<3/2>).9d, 2[1/2, 0, 11.10022

2s2.2p.(2P<1/2>).10, 2[3/2, 1, 11.103472

2s2.2p.(2P<3/2>).10, 2[5/2, 3, 11.111599

2s2.2p.(2P<3/2>).10, 2[1/2, 0, 11.118671

2s2.2p.(2P<1/2>).10, 2[5/2, 2, 11.12113

2s2.2p.(2P<1/2>).11, 2[1/2, 1, 11.12273

2s2.2p.(2P<1/2>).10, 2[5/2, 3, 11.122796

2s2.2p.(2P<1/2>).11, 2[1/2, 0, 11.12287

