config, term, J, epsion
2s2.2p2.(3P).9d, 2F, 2.5, 115902
2s2.2p2.(3P).9d, 2F, 3.5, 115902

2s2.2p2.(3P).10s, 4P, 2.5, 115955.2

2s2.2p2.(3P).9d, 2D, 1.5, 115973

2s2.2p2.(3P).9d, 4P, 0.5, 115990
2s2.2p2.(3P).9d, 4P, 1.5, 115990
2s2.2p2.(3P).9d, 4P, 2.5, 115990

2s2.2p2.(3P).9d, 2D, 2.5, 115991

2s2.2p2.(3P).11s, 2P, 0.5, 116107
2s2.2p2.(3P).11s, 2P, 1.5, 116107

2s2.2p2.(3P).11s, 4P, 0.5, 116124
2s2.2p2.(3P).11s, 4P, 1.5, 116124
2s2.2p2.(3P).11s, 4P, 2.5, 116124

2s2.2p2.(3P).10d, 2P, 0.5, 116155
2s2.2p2.(3P).10d, 2P, 1.5, 116155

2s2.2p2.(3P).10d, 2F, 2.5, 116159
2s2.2p2.(3P).10d, 2F, 3.5, 116159

2s2.2p2.(3P).10d, 4D, 0.5, 116164
2s2.2p2.(3P).10d, 4D, 1.5, 116164
2s2.2p2.(3P).10d, 4D, 2.5, 116164
2s2.2p2.(3P).10d, 4D, 3.5, 116164

2s2.2p2.(3P).10d, 2D, 1.5, 116240
2s2.2p2.(3P).10d, 2D, 2.5, 116240

2s2.2p2.(3P).10d, 4P, 0.5, 116259
2s2.2p2.(3P).10d, 4P, 1.5, 116259
2s2.2p2.(3P).10d, 4P, 2.5, 116259

2s2.2p2.(1S).3s, 2S, 0.5, 116278.558

2s2.2p2.(3P).12s, 2P, 0.5, 116305
2s2.2p2.(3P).12s, 2P, 1.5, 116305

2s2.2p2.(3P).12s, 4P, 0.5, 116312
2s2.2p2.(3P).12s, 4P, 1.5, 116312
2s2.2p2.(3P).12s, 4P, 2.5, 116312

2s2.2p2.(3P).11d, 2P, 0.5, 116351
2s2.2p2.(3P).11d, 2P, 1.5, 116351

2s2.2p2.(3P).11d, 2F, 2.5, 116359
2s2.2p2.(3P).11d, 2F, 3.5, 116359

2s2.2p2.(3P).11d, 4D, 0.5, 116367
