---------------------------------------------------------------------------------------------------------
Configuration      | Term   |     J |                Level (cm-1) |       Uncertainty (cm-1) | Reference
1s.9i              | 3I     |     6 |         [196956.067465189]  |            0.000000001   |     L8948
                   |        |     7 |         [196956.067682190]  |            0.000000001   |     L8948
                   |        |     5 |         [196956.067879920]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.9i              | 1I     |     6 |         [196956.068037015]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.9k              | 3K*    |     7 |         [196956.070257007]  |            0.000000001   |     L8948
                   |        |     8 |         [196956.070417474]  |            0.000000001   |     L8948
                   |        |     6 |         [196956.070564451]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.9k              | 1K*    |     7 |         [196956.070686155]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.9p              | 1P*    |     1 |         [196959.6928160]    |            0.0000007     |     L8948
                   |        |       |                             |                          |           
1s.10s             | 3S     |     1 |         [197145.2332580]    |            0.0000013     |     L8948
                   |        |       |                             |                          |           
1s.10s             | 1S     |     0 |         [197182.0655468]    |            0.0000010     |     L8948
                   |        |       |                             |                          |           
1s.10p             | 3P*    |     2 |         [197198.3327222]    |            0.0000007     |     L8948
                   |        |     1 |         [197198.3332683]    |            0.0000007     |     L8948
                   |        |     0 |         [197198.3399816]    |            0.0000007     |     L8948
                   |        |       |                             |                          |           
1s.10d             | 3D     |     3 |         [197212.82586104]   |            0.00000003    |     L8948
                   |        |     2 |         [197212.82594494]   |            0.00000003    |     L8948
                   |        |     1 |         [197212.82712336]   |            0.00000003    |     L8948
                   |        |       |                             |                          |           
1s.10d             | 1D     |     2 |         [197212.989530410]  |            0.000000020   |     L8948
                   |        |       |                             |                          |           
1s.10f             | 3F*    |     3 |         [197213.351998435]  |            0.000000003   |     L8948
                   |        |     4 |         [197213.352292488]  |            0.000000003   |     L8948
                   |        |     2 |         [197213.352843353]  |            0.000000003   |     L8948
                   |        |       |                             |                          |           
1s.10f             | 1F*    |     3 |         [197213.353742992]  |            0.000000003   |     L8948
                   |        |       |                             |                          |           
1s.10g             | 3G     |     4 |         [197213.4201606340] |            0.0000000013  |     L8948
                   |        |     5 |         [197213.4205059800] |            0.0000000013  |     L8948
                   |        |     3 |         [197213.4208207570] |            0.0000000013  |     L8948
                   |        |       |                             |                          |           
1s.10g             | 1G     |     4 |         [197213.4210337290] |            0.0000000013  |     L8948
                   |        |       |                             |                          |           
1s.10h             | 3H*    |     5 |         [197213.436690665]  |            0.000000001   |     L8948
                   |        |     6 |         [197213.436916208]  |            0.000000001   |     L8948
                   |        |     4 |         [197213.437120912]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.10h             | 1H*    |     5 |         [197213.437273674]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.10i             | 3I     |     6 |         [197213.442016000]  |            0.000000001   |     L8948
                   |        |     7 |         [197213.442174195]  |            0.000000001   |     L8948
                   |        |     5 |         [197213.442318339]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.10i             | 1I     |     6 |         [197213.442432862]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.10k             | 3K*    |     7 |         [197213.444098517]  |            0.000000001   |     L8948
                   |        |     8 |         [197213.444215497]  |            0.000000001   |     L8948
                   |        |     6 |         [197213.444322643]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.10k             | 1K*    |     7 |         [197213.444411365]  |            0.000000001   |     L8948
                   |        |       |                             |                          |           
1s.10p             | 1P*    |     1 |         [197216.0895622]    |            0.0000007     |     L8948
                   |        |       |                             |                          |           
1s.11p             | 1P*    |     1 |         [197405.87]         |            0.021         |      L366
                   |        |       |                             |                          |           
1s.12p             | 1P*    |     1 |         [197550.24]         |            0.021         |      L366
                   |        |       |                             |                          |           
1s.13p             | 1P*    |     1 |         [197662.63]         |            0.021         |      L366
                   |        |       |                             |                          |           
1s.14p             | 1P*    |     1 |         [197751.82]         |            0.021         |      L366
                   |        |       |                             |                          |           
1s.15p             | 1P*    |     1 |         [197823.79]         |            0.021         |      L366
-------------------|--------|-------|-----------------------------|--------------------------|-----------
He II (1s 2S<1/2>) | Limit  |   --- |          198310.66637       |            0.00020       |    L17714
                   |        |       |                             |                          |           
2s.2p              | 3P*    | 0,1,2 |          470310             |           50             |     L1368
                   |        |       |                             |                          |           
2p2                | 3P     | 0,1,2 |          481301.5           |            1.2           |     L1341
                   |        |       |                             |                          |           
2p.3p              | 3D     | 1,2,3 |          509094             |           50             |     L1368
                   |        |       |                             |                          |           
2p.3d              | 3D*    | 1,2,3 |          514473.5           |            1.2           |     L1368
                   |        |       |                             |                          |           
2p.3d              | 3P*    | 0,1,2 |          516775             |            5             |     L1368
---------------------------------------------------------------------------------------------------------
