T, Cp, H, S
13650, 30.3519782907, 283738.169664, 16.4395139663
13700, 30.3631116254, 284777.520621, 16.4745101256
13750, 30.3736858749, 285816.87134, 16.5094183332
13800, 30.3837066957, 286856.22182, 16.5442372086
13850, 30.3931797732, 287895.57206, 16.5789654066
13900, 30.4021108191, 288934.922059, 16.6136016172
13950, 30.4105055691, 289974.271815, 16.648144565
14000, 30.4183697804, 291013.621327, 16.6825930089
14050, 30.425709229, 292052.970594, 16.7169457416
14100, 30.4325297076, 293092.319615, 16.7512015892
14150, 30.4388370232, 294131.668388, 16.7853594108
14200, 30.4446369949, 295171.016914, 16.8194180981
14250, 30.4499354519, 296210.36519, 16.853376575
14300, 30.4547382312, 297249.713216, 16.887233797
14350, 30.4590511758, 298289.060991, 16.9209887511
14400, 30.4628801324, 299328.408515, 16.954640455
14450, 30.4662309499, 300367.755787, 16.9881879572
14500, 30.4691094777, 301407.102805, 17.0216303358
14550, 30.4715215633, 302446.44957, 17.0549666991
14600, 30.4734730511, 303485.796081, 17.0881961841
14650, 30.474969781, 304525.142337, 17.121317957
14700, 30.4760175861, 305564.488338, 17.1543312123
14750, 30.4766222919, 306603.834083, 17.1872351725
14800, 30.4767897145, 307643.179572, 17.2200290875
14850, 30.4765256593, 308682.524805, 17.2527122348
14900, 30.4758359197, 309721.869781, 17.2852839183
14950, 30.4747262758, 310761.214501, 17.3177434684
15000, 30.4732024933, 311800.558963, 17.3500902417
15050, 30.4712703223, 312839.903168, 17.3823236199
15100, 30.4689354961, 313879.247116, 17.4144430105
15150, 30.4662037302, 314918.590807, 17.4464478453
15200, 30.4630807216, 315957.934239, 17.4783375807
15250, 30.4595721475, 316997.277415, 17.5101116972
15300, 30.4556836647, 318036.620332, 17.541769699
15350, 30.4514209087, 319075.962993, 17.5733111133
15400, 30.4467894928, 320115.305396, 17.6047354904
15450, 30.4417950077, 321154.647541, 17.6360424031
15500, 30.4364430205, 322193.98943, 17.6672314464
15550, 30.4307390743, 323233.331062, 17.6983022371
15600, 30.4246886877, 324272.672437, 17.7292544135
15650, 30.4182973542, 325312.013556, 17.7600876347
15700, 30.4115705416, 326351.354418, 17.7908015809
15750, 30.4045136918, 327390.695025, 17.8213959525
